created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-01-19T00:57:00Z,1615875939778412500,1615875939778412547,"20, 30 , 40 y hasta 50 años que no han podido tener una escritura, cuantos alcaldes pasarían, cuantos concejales ? https://t.co/HZlbo4f8rf","20, 30 , 40 y hasta 50 años que no han podido tener una escritura, cuantos alcaldes pasarían, cuantos concejales ? https://t.co/HZlbo4f8rf",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,4,19,FALSE,NA,FALSE,NA,es,FALSE,NA,114,NA,,1615874600591675400,1615874600591675394,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-19T00:56:41Z,1615875859650576400,1615875859650576384,"20, 30 , 40 y hasta 50 años que no han podido tener una escritura, cuantos alcaldes pasarían, cuantos concejales ? https://t.co/HZlbo4fGgN","20, 30 , 40 y hasta 50 años que no han podido tener una escritura, cuantos alcaldes pasarían, cuantos concejales ? https://t.co/HZlbo4fGgN",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,6,11,FALSE,NA,FALSE,NA,es,FALSE,NA,114,NA,,1615874600591675400,1615874600591675394,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-18T14:55:27Z,1615724556617908200,1615724556617908224,Guauuu!!! https://t.co/15ip6rmSEY,Guauuu!!! https://t.co/15ip6rmSEY,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,29,117,FALSE,NA,FALSE,NA,es,FALSE,NA,9,NA,,1615693690592235500,1615693690592235531,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-18T03:41:39Z,1615554990193447e3,1615554990193446915,"Las bajas de “Venezuela “ y el “huevo” está pasando factura al equipo de @JuntosGente , marchamos en tres quinces, lo bueno que nos divertimos mucho, se vendieron full salchis. https://t.co/8WNPRgGuDw","Las bajas de “Venezuela “ y el “huevo” está pasando factura al equipo de @JuntosGente , marchamos en tres quinces, lo bueno que nos divertimos mucho, se vendieron full salchis. https://t.co/8WNPRgGuDw",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,12,58,FALSE,NA,FALSE,NA,es,FALSE,NA,176,NA,,1615554130038386700,1615554130038386688,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-16T14:30:51Z,1614993590375125e3,1614993590375124993,"Sra. Coloma, no ensucie la ciudad, mande a retirar por favor. https://t.co/Hf3dVJSl1B","Sra. Coloma, no ensucie la ciudad, mande a retirar por favor. https://t.co/Hf3dVJSl1B",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,69,266,FALSE,NA,FALSE,NA,es,FALSE,NA,61,NA,,1614952490797043700,1614952490797043714,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-16T04:47:12Z,1614846710483673e3,1614846710483673089,"Hasta mañana, me desconecto, una feliz semana. https://t.co/HLoynjjmbO","Hasta mañana, me desconecto, una feliz semana. https://t.co/HLoynjjmbO",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,31,266,FALSE,NA,FALSE,NA,es,FALSE,NA,46,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-16T00:32:54Z,1614782713868816400,1614782713868816385,Un día estás en primer lugar al siguiente día en segundo que será ? https://t.co/tDVJolaXBX https://t.co/SuI3tALbnF,Un día estás en primer lugar al siguiente día en segundo que será ? https://t.co/tDVJolaXBX https://t.co/SuI3tALbnF,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,14,58,FALSE,NA,FALSE,NA,es,FALSE,NA,91,NA,,1614751880701255700,1614751880701255680,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-15T22:17:18Z,1614748586675409e3,1614748586675408897,Una imagen habla más que mil troles. https://t.co/n2Ip8Ns9En,Una imagen habla más que mil troles. https://t.co/n2Ip8Ns9En,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,25,100,FALSE,NA,FALSE,NA,es,FALSE,NA,36,NA,,1614591905551257600,1614591905551257600,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-15T22:13:17Z,1614747577835987e3,1614747577835986952,"Creamos @UBA_Quito y seguiremos con más políticas hasta hacer de Quito, una ciudad sin maltrato animal. https://t.co/Eyp0RAXmTf","Creamos @UBA_Quito y seguiremos con más políticas hasta hacer de Quito, una ciudad sin maltrato animal. https://t.co/Eyp0RAXmTf",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,11,62,FALSE,NA,FALSE,NA,es,FALSE,NA,103,NA,,1614394130997694500,1614394130997694465,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-14T04:29:23Z,1614117451700080600,1614117451700080643,Morimos de pie !! https://t.co/XipphsWBqp,Morimos de pie !! https://t.co/XipphsWBqp,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,22,89,FALSE,NA,FALSE,NA,es,FALSE,NA,17,NA,,1614097082020941800,1614097082020941826,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
